move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
601,9,9,0,0,62.00221293718259,5131.239590077761,851.0898894946408,0.1658643831678386,1067.2791712211424,1180.9411331154436,6740.830038501158,26391.17291225756,28545.92534687885,200544.0519842817,18.075209873560468,35.591998335913935,0.9687048494815826,0.2413601508010519,0.1467849678463406,0.1312838648075883,0.0,0.0,0.0,0.0,0.0
165,1,1,0,0,101.3465049537541,3150.357529950868,178.48809484108455,0.0566564566542605,2397.228673280043,3205.159916222444,12272.665688308558,46813.70080322099,69305.45085745047,469226.18351352913,15.486154846839446,26.074106376338285,0.0,0.0,0.0716919898986816,0.0,0.0,0.0,0.0,0.0,0.0
376,2,2,0,0,65.51847273093802,5177.882439039097,1012.02766760598,0.1954520365266907,1719.2093184852138,2449.72359651279,12272.665688308558,32518.061952702432,50779.97669894095,469226.18351352913,14.044143976378336,25.32831307503648,1.0158517360687256,0.0,0.0757843255996704,0.0040923357009887,0.0,0.0,0.0,0.0,0.0
483,3,3,0,9,58.83664859584474,6378.535702946344,559.1135841669383,0.0876554761477113,1647.335581551794,2367.2727295753666,12272.665688308558,30450.786546478743,46957.28086403416,469226.18351352913,15.351580086416728,26.579113800039337,2.5691012144088745,1.553249478340149,0.0683422883351643,0.0110423115764914,0.0,9.0,1.0,0.0769345760345459,0.1503269658833989
393,3,3,0,9,41.564778106847335,4525.7581158598005,824.7205587348966,0.1822281566142022,1442.7473368183507,2022.77586374612,8392.83624039081,27506.99731520217,42505.92422715991,316778.0658290753,16.04201107735151,26.64577555368282,3.4109021425247192,2.411070942878723,0.0576810042063395,0.0104776945127854,0.0,9.0,1.0,0.0769345760345459,0.1503269658833989
435,6,5,1,9,45.6019885548846,5272.517997380615,591.9298944976508,0.1122670220929964,1521.0476854973638,2272.6016481544807,11066.79074526629,32959.928919385115,50172.54015072866,429470.5580886508,17.92760026555288,28.411885296472988,0.9374533653259276,0.3375596183037884,0.0670119126637776,0.0193454658565499,1.0,9.0,1.0,0.0769345760345459,0.1503269658833989
82,0,0,0,0,126.54749307992408,1363.5351536398368,1292.8638752784454,0.9481705490520428,2124.5394184845595,1522.034340193137,5162.564456967776,38094.0468349145,53119.24755831888,408252.93132130685,8.049026038232421,14.44006566722022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1,1,0,0,87.9092610686278,1431.3893901091992,1241.7930584441194,0.867543847275118,1441.5490307171124,1537.6932803739155,5162.564456967776,28638.56590529473,45221.987612552606,408252.93132130685,16.343623661318432,27.33774758274485,0.0,0.0,0.0638055801391601,0.0,0.0,0.0,0.0,0.0,0.0
263,2,2,0,0,36.23935622639253,3428.79907760549,196.0025510038071,0.0571636151805914,1638.2852318553166,2460.9153113858497,12277.474676458936,33539.006534878165,49752.64726347335,408252.93132130685,18.99875162226597,32.15188115951213,4.863983631134033,0.0,0.0878093242645263,0.0240037441253662,0.0,0.0,0.0,0.0,0.0
21,0,0,0,0,131.44717213714142,235.8753499481704,235.0914715594762,0.996676726123071,1476.3987950610128,385.93180543607394,1922.5852159241529,21269.0186480468,30713.68306919958,143515.13850932504,3.67635520451036,3.5736731857506574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2,2,0,0,89.68448461552957,1451.5175507066565,868.0472337378883,0.5980273771510984,1172.328391788919,854.6076355862268,3531.1200159506984,23040.064075896764,27179.82619305389,187149.92068154423,8.389622445061121,14.4732754069885,0.8981037139892578,0.0,0.0590517520904541,0.0051009654998779,0.0,0.0,0.0,0.0,0.0
